method,code,nbarcodes,rstdv,rep,sensitivity,fdr,n_true,n_decoded,n_fd,not_decoded_true,param_l1,param_peak,param_Q,param_tau,best_lambda
bardensr,q11_n10_k7_w4cb_pool1,30,0.25,3,0.8333333333333334,0.0,30,25,0.0,5.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,30,0.5,3,0.8333333333333334,0.0,30,25,0.0,5.0,0.0,0.7,,,
bardensr,q11_n10_k7_w4cb_pool1,30,0.75,3,0.3,0.0,30,9,0.0,21.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,30,1.0,3,0.5,0.0,30,15,0.0,15.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,30,1.25,3,0.1,0.0,30,3,0.0,27.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,30,1.5,3,0.1666666666666666,0.0,30,5,0.0,25.0,0.01,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,30,1.75,3,0.1,0.0,30,3,0.0,27.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,30,2.0,3,0.0666666666666666,0.0,30,2,0.0,28.0,0.03,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,30,2.25,3,0.0666666666666666,0.0,30,2,0.0,28.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,30,2.5,3,0.0666666666666666,0.0,30,2,0.0,28.0,0.0,1.8,,,
bardensr,q11_n10_k7_w4cb_pool1,30,2.75,3,0.1,0.0,30,3,0.0,27.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,30,3.0,3,0.0333333333333333,0.0,30,1,0.0,29.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,5,0.0,4,1.0,0.0,5,5,0.0,0.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,5,0.25,4,0.8,0.0,5,4,0.0,1.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,5,0.5,4,0.8,0.0,5,4,0.0,1.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,5,0.75,4,1.0,0.0,5,5,0.0,0.0,0.0,0.7,,,
bardensr,q11_n10_k7_w4cb_pool1,5,1.0,4,0.6,0.0,5,3,0.0,2.0,0.0,1.8,,,
bardensr,q11_n10_k7_w4cb_pool1,5,1.25,4,0.2,0.0,5,1,0.0,4.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,5,1.5,4,0.0,0.0,5,0,0.0,5.0,0.0,1.8,,,
bardensr,q11_n10_k7_w4cb_pool1,5,1.75,4,0.0,0.0,5,0,0.0,5.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,5,2.0,4,0.0,,5,0,,,,,,,
bardensr,q11_n10_k7_w4cb_pool1,5,2.25,4,0.0,0.0,5,0,0.0,5.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,5,2.5,4,0.0,0.0,5,0,0.0,5.0,0.0,1.5,,,
bardensr,q11_n10_k7_w4cb_pool1,5,2.75,4,0.2,0.0,5,1,0.0,4.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,5,3.0,4,0.4,0.0,5,2,0.0,3.0,0.1,1.6,,,
bardensr,q11_n10_k7_w4cb_pool1,10,0.0,4,1.0,0.0,10,10,0.0,0.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,10,0.25,4,1.0,0.0,10,10,0.0,0.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,10,0.5,4,0.8,0.0,10,8,0.0,2.0,0.0,1.5,,,
bardensr,q11_n10_k7_w4cb_pool1,10,0.75,4,0.8,0.0,10,8,0.0,2.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,10,1.0,4,0.6,0.0,10,6,0.0,4.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,10,1.25,4,0.7,0.0,10,7,0.0,3.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,10,1.5,4,0.4,0.0,10,4,0.0,6.0,0.0,0.7,,,
bardensr,q11_n10_k7_w4cb_pool1,10,1.75,4,0.1,0.0,10,1,0.0,9.0,0.03,2.0,,,
bardensr,q11_n10_k7_w4cb_pool1,10,2.0,4,0.1,0.0,10,1,0.0,9.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,10,2.25,4,0.3,0.0,10,3,0.0,7.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,10,2.5,4,0.1,0.0,10,1,0.0,9.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,10,2.75,4,0.1,0.0,10,1,0.0,9.0,0.0,0.7,,,
bardensr,q11_n10_k7_w4cb_pool1,10,3.0,4,0.0,0.0,10,0,0.0,10.0,0.0,1.8,,,
bardensr,q11_n10_k7_w4cb_pool1,15,0.0,4,1.0,0.0,15,15,0.0,0.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,15,0.25,4,1.0,0.0,15,15,0.0,0.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,15,0.5,4,0.7333333333333333,0.0,15,11,0.0,4.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,15,0.75,4,0.6666666666666666,0.0,15,10,0.0,5.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,15,1.0,4,0.4666666666666667,0.0,15,7,0.0,8.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,15,1.25,4,0.3333333333333333,0.0,15,5,0.0,10.0,0.03,1.5,,,
bardensr,q11_n10_k7_w4cb_pool1,15,1.5,4,0.2,0.0,15,3,0.0,12.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,15,1.75,4,0.2666666666666666,0.0,15,4,0.0,11.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,15,2.0,4,0.0666666666666666,0.0,15,1,0.0,14.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,15,2.25,4,0.2666666666666666,0.0,15,4,0.0,11.0,0.0,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,15,2.5,4,0.2,0.0,15,3,0.0,12.0,0.01,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,15,2.75,4,0.0666666666666666,0.0,15,1,0.0,14.0,0.0,1.5,,,
bardensr,q11_n10_k7_w4cb_pool1,15,3.0,4,0.0,0.0,15,0,0.0,15.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,20,0.0,4,0.95,0.0,20,19,0.0,1.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,20,0.25,4,1.0,0.0,20,20,0.0,0.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,20,0.5,4,0.9,0.0,20,18,0.0,2.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,20,0.75,4,0.55,0.0,20,11,0.0,9.0,0.01,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,20,1.0,4,0.35,0.0,20,7,0.0,13.0,0.0,0.8,,,
bardensr,q11_n10_k7_w4cb_pool1,20,1.25,4,0.35,0.0,20,7,0.0,13.0,0.01,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,20,1.5,4,0.4,0.0,20,8,0.0,12.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,20,1.75,4,0.15,0.0,20,3,0.0,17.0,0.0,1.8,,,
bardensr,q11_n10_k7_w4cb_pool1,20,2.0,4,0.15,0.0,20,3,0.0,17.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,20,2.25,4,0.0,0.0,20,0,0.0,20.0,0.01,2.0,,,
bardensr,q11_n10_k7_w4cb_pool1,20,2.5,4,0.1,0.0,20,2,0.0,18.0,0.1,1.5,,,
bardensr,q11_n10_k7_w4cb_pool1,20,2.75,4,0.05,0.0,20,1,0.0,19.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,20,3.0,4,0.0,0.0,20,0,0.0,20.0,0.0,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,25,0.0,4,1.0,0.0,25,25,0.0,0.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,25,0.25,4,0.8,0.0,25,20,0.0,5.0,0.0,1.7,,,
bardensr,q11_n10_k7_w4cb_pool1,25,0.5,4,0.88,0.0,25,22,0.0,3.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,25,0.75,4,0.56,0.0,25,14,0.0,11.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,25,1.0,4,0.6,0.0,25,15,0.0,10.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,25,1.25,4,0.16,0.0,25,4,0.0,21.0,0.0,1.5,,,
bardensr,q11_n10_k7_w4cb_pool1,25,1.5,4,0.2,0.0,25,5,0.0,20.0,0.01,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,25,1.75,4,0.36,0.0,25,9,0.0,16.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,25,2.0,4,0.16,0.0,25,4,0.0,21.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,25,2.25,4,0.0,0.0,25,0,0.0,25.0,0.0,1.5,,,
bardensr,q11_n10_k7_w4cb_pool1,25,2.5,4,0.12,0.0,25,3,0.0,22.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,25,2.75,4,0.24,0.0,25,6,0.0,19.0,0.01,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,25,3.0,4,0.24,0.0,25,6,0.0,19.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,30,0.0,4,0.9333333333333332,0.0,30,28,0.0,2.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,30,0.25,4,0.4,0.0,30,12,0.0,18.0,0.0,1.8,,,
bardensr,q11_n10_k7_w4cb_pool1,30,0.5,4,0.8333333333333334,0.0,30,25,0.0,5.0,0.0,1.6,,,
bardensr,q11_n10_k7_w4cb_pool1,30,0.75,4,0.5333333333333333,0.0,30,16,0.0,14.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,30,1.0,4,0.3,0.0,30,9,0.0,21.0,0.01,1.7,,,
bardensr,q11_n10_k7_w4cb_pool1,30,1.25,4,0.1333333333333333,0.0,30,4,0.0,26.0,0.01,1.7,,,
bardensr,q11_n10_k7_w4cb_pool1,30,1.5,4,0.1666666666666666,0.0,30,5,0.0,25.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,30,1.75,4,0.0333333333333333,0.0,30,1,0.0,29.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,30,2.0,4,0.0666666666666666,0.0,30,2,0.0,28.0,0.0,1.9,,,
bardensr,q11_n10_k7_w4cb_pool1,30,2.25,4,0.0333333333333333,0.0,30,1,0.0,29.0,0.03,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,30,2.5,4,0.0,0.0,30,0,0.0,30.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,30,2.75,4,0.0333333333333333,0.0,30,1,0.0,29.0,0.0,0.7,,,
bardensr,q11_n10_k7_w4cb_pool1,30,3.0,4,0.0,0.0,30,0,0.0,30.0,0.03,1.9,,,
bardensr,q11_n10_k7_w4cb_pool1,5,0.0,5,1.0,0.0,5,5,0.0,0.0,0.0,1.5,,,
bardensr,q11_n10_k7_w4cb_pool1,5,0.25,5,1.0,0.0,5,5,0.0,0.0,0.0,0.8,,,
bardensr,q11_n10_k7_w4cb_pool1,5,0.5,5,1.0,0.0,5,5,0.0,0.0,0.0,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,5,0.75,5,0.6,0.0,5,3,0.0,2.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,5,1.0,5,0.4,0.0,5,2,0.0,3.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,5,1.25,5,0.0,,5,0,,,,,,,
bardensr,q11_n10_k7_w4cb_pool1,5,1.5,5,0.0,0.0,5,0,0.0,5.0,0.0,2.0,,,
bardensr,q11_n10_k7_w4cb_pool1,5,1.75,5,0.0,,5,0,,,,,,,
bardensr,q11_n10_k7_w4cb_pool1,5,2.0,5,0.0,0.0,5,0,0.0,5.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,5,2.25,5,0.0,0.0,5,0,0.0,5.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,5,2.5,5,0.0,0.0,5,0,0.0,5.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,5,2.75,5,0.0,0.0,5,0,0.0,5.0,0.0,1.6,,,
bardensr,q11_n10_k7_w4cb_pool1,5,3.0,5,0.2,0.0,5,1,0.0,4.0,0.1,1.5,,,
bardensr,q11_n10_k7_w4cb_pool1,10,0.0,5,1.0,0.0,10,10,0.0,0.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,10,0.25,5,1.0,0.0,10,10,0.0,0.0,0.0,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,10,0.5,5,0.5,0.0,10,5,0.0,5.0,0.0,1.6,,,
bardensr,q11_n10_k7_w4cb_pool1,10,0.75,5,0.8,0.0,10,8,0.0,2.0,0.0,1.5,,,
bardensr,q11_n10_k7_w4cb_pool1,10,1.0,5,0.8,0.0,10,8,0.0,2.0,0.1,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,10,1.25,5,0.7,0.0,10,7,0.0,3.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,10,1.5,5,0.2,0.0,10,2,0.0,8.0,0.0,1.8,,,
bardensr,q11_n10_k7_w4cb_pool1,10,1.75,5,0.2,0.0,10,2,0.0,8.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,10,2.0,5,0.1,0.0,10,1,0.0,9.0,0.1,1.6,,,
bardensr,q11_n10_k7_w4cb_pool1,10,2.25,5,0.5,0.0,10,5,0.0,5.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,10,2.5,5,0.1,0.0,10,1,0.0,9.0,0.0,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,10,2.75,5,0.1,0.0,10,1,0.0,9.0,0.0,1.7,,,
bardensr,q11_n10_k7_w4cb_pool1,10,3.0,5,0.1,0.0,10,1,0.0,9.0,0.1,2.0,,,
bardensr,q11_n10_k7_w4cb_pool1,15,0.0,5,1.0,0.0,15,15,0.0,0.0,0.0,0.8,,,
bardensr,q11_n10_k7_w4cb_pool1,15,0.25,5,1.0,0.0,15,15,0.0,0.0,0.0,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,15,0.5,5,0.8666666666666667,0.0,15,13,0.0,2.0,0.0,1.6,,,
bardensr,q11_n10_k7_w4cb_pool1,15,0.75,5,0.8666666666666667,0.0,15,13,0.0,2.0,0.0,0.8,,,
bardensr,q11_n10_k7_w4cb_pool1,15,1.0,5,0.8,0.0,15,12,0.0,3.0,0.0,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,15,1.25,5,0.5333333333333333,0.0,15,8,0.0,7.0,0.0,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,15,1.5,5,0.5333333333333333,0.0,15,8,0.0,7.0,0.03,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,15,1.75,5,0.0666666666666666,0.0,15,1,0.0,14.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,15,2.0,5,0.2666666666666666,0.0,15,4,0.0,11.0,0.03,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,15,2.25,5,0.1333333333333333,0.0,15,2,0.0,13.0,0.0,1.6,,,
bardensr,q11_n10_k7_w4cb_pool1,15,2.5,5,0.0,0.0,15,0,0.0,15.0,0.1,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,15,2.75,5,0.2,0.0,15,3,0.0,12.0,0.03,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,15,3.0,5,0.1333333333333333,0.0,15,2,0.0,13.0,0.1,1.8,,,
bardensr,q11_n10_k7_w4cb_pool1,20,0.0,5,0.9,0.0,20,18,0.0,2.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,20,0.25,5,1.0,0.0,20,20,0.0,0.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,20,0.5,5,0.95,0.0,20,19,0.0,1.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,20,0.75,5,0.9,0.0,20,18,0.0,2.0,0.0,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,20,1.0,5,0.45,0.0,20,9,0.0,11.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,20,1.25,5,0.4,0.0,20,8,0.0,12.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,20,1.5,5,0.15,0.0,20,3,0.0,17.0,0.0,1.6,,,
bardensr,q11_n10_k7_w4cb_pool1,20,1.75,5,0.3,0.0,20,6,0.0,14.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,20,2.0,5,0.4,0.0,20,8,0.0,12.0,0.0,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,20,2.25,5,0.15,0.0,20,3,0.0,17.0,0.001,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,20,2.5,5,0.1,0.0,20,2,0.0,18.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,20,2.75,5,0.05,0.0,20,1,0.0,19.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,20,3.0,5,0.1,0.0,20,2,0.0,18.0,0.03,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,25,0.0,5,0.84,0.0,25,21,0.0,4.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,25,0.25,5,0.92,0.0,25,23,0.0,2.0,0.0,1.5,,,
bardensr,q11_n10_k7_w4cb_pool1,25,0.5,5,0.84,0.0,25,21,0.0,4.0,0.0,0.8,,,
bardensr,q11_n10_k7_w4cb_pool1,25,0.75,5,0.76,0.0,25,19,0.0,6.0,0.0,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,25,1.0,5,0.32,0.0,25,8,0.0,17.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,25,1.25,5,0.44,0.0,25,11,0.0,14.0,0.03,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,25,1.5,5,0.28,0.0,25,7,0.0,18.0,0.0,1.6,,,
bardensr,q11_n10_k7_w4cb_pool1,25,1.75,5,0.24,0.0,25,6,0.0,19.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,25,2.0,5,0.04,0.0,25,1,0.0,24.0,0.03,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,25,2.25,5,0.16,0.0,25,4,0.0,21.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,25,2.5,5,0.08,0.0,25,2,0.0,23.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,25,2.75,5,0.08,0.0,25,2,0.0,23.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,25,3.0,5,0.08,0.0,25,2,0.0,23.0,0.01,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,30,0.0,5,0.8666666666666667,0.0,30,26,0.0,4.0,0.0,1.8,,,
bardensr,q11_n10_k7_w4cb_pool1,30,0.25,5,0.6666666666666666,0.0,30,20,0.0,10.0,0.001,1.6,,,
bardensr,q11_n10_k7_w4cb_pool1,30,0.5,5,0.7,0.0,30,21,0.0,9.0,0.01,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,30,0.75,5,0.8,0.0,30,24,0.0,6.0,0.03,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,30,1.0,5,0.5,0.0,30,15,0.0,15.0,0.0,1.5,,,
bardensr,q11_n10_k7_w4cb_pool1,30,1.25,5,0.0666666666666666,0.0,30,2,0.0,28.0,0.0,1.8,,,
bardensr,q11_n10_k7_w4cb_pool1,30,1.5,5,0.3333333333333333,0.0,30,10,0.0,20.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,30,1.75,5,0.2,0.0,30,6,0.0,24.0,0.01,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,30,2.0,5,0.2,0.0,30,6,0.0,24.0,0.0,0.7,,,
bardensr,q11_n10_k7_w4cb_pool1,30,2.25,5,0.0333333333333333,0.0,30,1,0.0,29.0,0.0,1.7,,,
bardensr,q11_n10_k7_w4cb_pool1,30,2.5,5,0.0666666666666666,0.0,30,2,0.0,28.0,0.0,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,30,2.75,5,0.1,0.0,30,3,0.0,27.0,0.01,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,30,3.0,5,0.0666666666666666,0.0,30,2,0.0,28.0,0.001,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,5,0.0,6,1.0,0.0,5,5,0.0,0.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,5,0.25,6,1.0,0.0,5,5,0.0,0.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,5,0.5,6,0.8,0.0,5,4,0.0,1.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,5,0.75,6,1.0,0.0,5,5,0.0,0.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,5,1.0,6,0.2,0.0,5,1,0.0,4.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,5,1.25,6,0.4,0.0,5,2,0.0,3.0,0.0,1.7,,,
bardensr,q11_n10_k7_w4cb_pool1,5,1.5,6,0.2,0.0,5,1,0.0,4.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,5,1.75,6,0.0,,5,0,,,,,,,
bardensr,q11_n10_k7_w4cb_pool1,5,2.0,6,0.2,0.0,5,1,0.0,4.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,5,2.25,6,0.0,0.0,5,0,0.0,5.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,5,2.5,6,0.0,0.0,5,0,0.0,5.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,5,2.75,6,0.2,0.0,5,1,0.0,4.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,5,3.0,6,0.2,0.0,5,1,0.0,4.0,0.1,1.9,,,
bardensr,q11_n10_k7_w4cb_pool1,10,0.0,6,1.0,0.0,10,10,0.0,0.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,10,0.25,6,1.0,0.0,10,10,0.0,0.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,10,0.5,6,1.0,0.0,10,10,0.0,0.0,0.0,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,10,0.75,6,0.9,0.0,10,9,0.0,1.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,10,1.0,6,0.8,0.0,10,8,0.0,2.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,10,1.25,6,0.1,0.0,10,1,0.0,9.0,0.0,1.9,,,
bardensr,q11_n10_k7_w4cb_pool1,10,1.5,6,0.2,0.0,10,2,0.0,8.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,10,1.75,6,0.1,0.0,10,1,0.0,9.0,0.0,1.9,,,
bardensr,q11_n10_k7_w4cb_pool1,10,2.0,6,0.3,0.0,10,3,0.0,7.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,10,2.25,6,0.1,0.0,10,1,0.0,9.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,10,2.5,6,0.0,0.0,10,0,0.0,10.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,10,2.75,6,0.2,0.0,10,2,0.0,8.0,0.0,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,10,3.0,6,0.1,0.0,10,1,0.0,9.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,15,0.0,6,1.0,0.0,15,15,0.0,0.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,15,0.25,6,1.0,0.0,15,15,0.0,0.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,15,0.5,6,0.8666666666666667,0.0,15,13,0.0,2.0,0.01,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,15,0.75,6,1.0,0.0,15,15,0.0,0.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,15,1.0,6,0.7333333333333333,0.0,15,11,0.0,4.0,0.001,0.9,,,
bardensr,q11_n10_k7_w4cb_pool1,15,1.25,6,0.2666666666666666,0.0,15,4,0.0,11.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,15,1.5,6,0.2,0.0,15,3,0.0,12.0,0.001,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,15,1.75,6,0.0666666666666666,0.0,15,1,0.0,14.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,15,2.0,6,0.5333333333333333,0.0,15,8,0.0,7.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,15,2.25,6,0.2,0.0,15,3,0.0,12.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,15,2.5,6,0.0,0.0,15,0,0.0,15.0,0.0,2.0,,,
bardensr,q11_n10_k7_w4cb_pool1,15,2.75,6,0.2,0.0,15,3,0.0,12.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,15,3.0,6,0.0666666666666666,0.0,15,1,0.0,14.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,20,0.0,6,0.45,0.0,20,9,0.0,11.0,0.001,1.7,,,
bardensr,q11_n10_k7_w4cb_pool1,20,0.25,6,0.9,0.0,20,18,0.0,2.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,20,0.5,6,1.0,0.0,20,20,0.0,0.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,20,0.75,6,0.4,0.0,20,8,0.0,12.0,0.0,1.8,,,
bardensr,q11_n10_k7_w4cb_pool1,20,1.0,6,0.5,0.0,20,10,0.0,10.0,0.03,1.4,,,
bardensr,q11_n10_k7_w4cb_pool1,20,1.25,6,0.35,0.0,20,7,0.0,13.0,0.0,1.2,,,
bardensr,q11_n10_k7_w4cb_pool1,20,1.5,6,0.05,0.0,20,1,0.0,19.0,0.1,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,20,1.75,6,0.15,0.0,20,3,0.0,17.0,0.0,1.5,,,
bardensr,q11_n10_k7_w4cb_pool1,20,2.0,6,0.2,0.0,20,4,0.0,16.0,0.03,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,20,2.25,6,0.15,0.0,20,3,0.0,17.0,0.0,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,20,2.5,6,0.25,0.0,20,5,0.0,15.0,0.01,1.0,,,
bardensr,q11_n10_k7_w4cb_pool1,20,2.75,6,0.1,0.0,20,2,0.0,18.0,0.0,1.1,,,
bardensr,q11_n10_k7_w4cb_pool1,20,3.0,6,0.0,0.0,20,0,0.0,20.0,0.0,1.3,,,
bardensr,q11_n10_k7_w4cb_pool1,25,0.0,6,0.8,0.0,25,20,0.0,5.0,0.0,1.3,,,
